Entidad federativa,Grupo quinquenal de edad,1990,1995,2000,2005,2010,2020
Nayarit,50 a 54 años,25661,29721,33520,39727,48769,64958
Nayarit,55 a 59 años,20264,24833,27584,31623,39899,54507
Nayarit,60 a 64 años,17158,20521,23746,27893,32069,47698
Nayarit,65 a 69 años,13413,16025,18487,21551,25368,37876
Nayarit,70 a 74 años,10358,12263,13556,15830,21066,27774
Nayarit,75 a 79 años,7592,8483,9933,11271,13928,19910
Nayarit,80 a 84 años,4885,5638,6070,7228,8690,13039
Nayarit,85 a 89 años,2657,3085,3838,4184,5111,7093
Nayarit,90 a 94 años,1121,1252,1450,1694,2113,2773
Nayarit,95 a 99 años,465,633,680,788,799,996
Nayarit,100 años y más,252,156,238,222,247,236
Nayarit,No especificado,9725,1652,4634,15662,7435,1168
Nuevo Leon,Total,3098736,3550114,3834141,4199292,4653458,5784442
Nuevo Leon,0 a 4 años,331519,372590,396563,396832,413360,454909
Nuevo Leon,5 a 9 años,350558,360813,385771,403641,430525,463819
Nuevo Leon,10 a 14 años,369459,360951,355194,381498,415368,462720
Nuevo Leon,15 a 19 años,388480,390485,373807,372986,406428,471896
Nuevo Leon,20 a 24 años,337524,412575,391235,381072,401723,503826
Nuevo Leon,25 a 29 años,267335,336502,369135,364392,384086,488349
Nuevo Leon,30 a 34 años,226879,283907,322572,368549,383736,448470
Nuevo Leon,35 a 39 años,180402,243192,272200,322812,383357,426619
Nuevo Leon,40 a 44 años,145262,183087,224330,265277,321008,409490
Nuevo Leon,45 a 49 años,121838,151856,168680,218683,260606,387678
Nuevo Leon,50 a 54 años,100263,122905,144499,172436,220801,334439
Nuevo Leon,55 a 59 años,75104,96263,109729,134046,162140,260045
Nuevo Leon,60 a 64 años,62398,77359,92626,108646,132607,217238
Nuevo Leon,65 a 69 años,46095,57318,65875,83083,96803,154408
Nuevo Leon,70 a 74 años,29882,41030,48611,59373,75631,115822
Nuevo Leon,75 a 79 años,23068,25120,33324,40397,48049,77327
Nuevo Leon,80 a 84 años,14384,16178,17528,24628,30455,50350
Nuevo Leon,85 a 89 años,7963,9406,10634,11929,16005,25023
Nuevo Leon,90 a 94 años,2486,3497,4154,4738,5394,10365
Nuevo Leon,95 a 99 años,910,1256,1741,1817,1874,3097
Nuevo Leon,100 años y más,334,267,380,376,460,420
Nuevo Leon,No especificado,16593,3557,45553,82081,63042,18132
Oaxaca,Total,3019560,3228895,3438765,3506821,3801962,4132148
Oaxaca,0 a 4 años,410741,402105,395993,357272,373371,359853
Oaxaca,5 a 9 años,452387,436486,458507,394779,399632,388759
Oaxaca,10 a 14 años,422710,434282,443874,443980,414392,398362
Oaxaca,15 a 19 años,324057,358526,364876,366868,406873,358708
Oaxaca,20 a 24 años,245537,281574,288035,281999,313523,310307
Oaxaca,25 a 29 años,205136,223026,239657,243386,268969,307124
Oaxaca,30 a 34 años,174609,198336,213839,230648,259112,289279
Oaxaca,35 a 39 años,158367,183926,199131,210256,244019,276496
Oaxaca,40 a 44 años,122750,143539,167187,185440,208666,259478
Oaxaca,45 a 49 años,114456,123361,139877,161350,187021,233971
Oaxaca,50 a 54 años,93382,103778,116999,136431,163536,210438
Oaxaca,55 a 59 años,77251,83816,96806,107316,134078,179408
Oaxaca,60 a 64 años,68702,78424,89096,102856,110092,155780
Oaxaca,65 a 69 años,48631,55762,68801,77317,90363,127194
Oaxaca,70 a 74 años,35881,43471,52015,61759,80884,93692
Oaxaca,75 a 79 años,24056,28012,36889,44826,55599,73118
Oaxaca,80 a 84 años,17595,18426,22243,29144,35768,50714
Oaxaca,85 a 89 años,9700,9835,12144,15726,21170,31435
Oaxaca,90 a 94 años,4323,4457,5243,5751,7840,12630
Oaxaca,95 a 99 años,1879,2299,2871,2870,3406,4898
Oaxaca,100 años y más,1070,731,1013,992,1047,1116
Oaxaca,No especificado,6340,14723,23669,45855,22601,9388
Puebla,Total,4126101,4624365,5076686,5383133,5779829,6583278
Puebla,0 a 4 años,549465,574929,578641,579804,574513,578779
Puebla,5 a 9 años,587427,594003,623917,586108,620386,598550
Puebla,10 a 14 años,566985,591644,600452,624075,604845,603375
Puebla,15 a 19 años,471300,526378,532196,548971,604094,607200
Puebla,20 a 24 años,369823,447281,460965,474429,511685,570646
Puebla,25 a 29 años,295479,351785,384326,411939,441558,528289
Puebla,30 a 34 años,250317,299213,332646,384349,420492,475854
Puebla,35 a 39 años,220557,275167,297693,340799,394961,457864
Puebla,40 a 44 años,166092,207950,243578,283374,328556,425089
Puebla,45 a 49 años,148058,175518,197500,242420,279425,382865
Puebla,50 a 54 años,118670,139750,162662,197862,240020,334597
Puebla,55 a 59 años,99683,113605,127639,154041,188919,269080
Puebla,60 a 64 años,85006,100868,111996,133552,150565,229364
Puebla,65 a 69 años,63979,76919,89492,100862,115990,177876
Puebla,70 a 74 años,45259,57670,67351,78396,96685,128374
Puebla,75 a 79 años,31992,38212,48685,58514,67019,91494
Puebla,80 a 84 años,22198,22993,27369,36177,43367,60354
Puebla,85 a 89 años,13525,14447,16421,20730,26380,36491
Puebla,90 a 94 años,5691,6218,7044,7209,9528,14770
Puebla,95 a 99 años,2545,3474,4142,3919,3845,5631
Puebla,100 años y más,1338,1010,1288,1187,1057,1065
Puebla,No especificado,10712,5331,160683,114416,55939,5671
Queretaro,Total,1051235,1250476,1404306,1598139,1827937,2368467
Queretaro,0 a 4 años,146179,159062,163581,162841,178916,187893
Queretaro,5 a 9 años,149342,159715,174551,168900,183541,196969
Queretaro,10 a 14 años,140664,155971,164074,178589,182608,198601
Queretaro,15 a 19 años,125235,145338,152906,162541,187241,198141
Queretaro,20 a 24 años,100487,130819,136899,146713,168520,209039
Queretaro,25 a 29 años,81606,103287,119099,130500,153300,214139
Queretaro,30 a 34 años,67780,89066,103722,126438,145169,194576
Queretaro,35 a 39 años,55252,77155,90271,109689,138438,182743
Queretaro,40 a 44 años,40378,56445,72087,91576,114275,165728
Queretaro,45 a 49 años,33968,43552,53778,73238,93449,149832
Queretaro,50 a 54 años,25959,33922,41725,57129,76870,125857
Queretaro,55 a 59 años,21099,25227,31402,40621,56288,97903
Queretaro,60 a 64 años,17638,21951,25807,33692,42991,80729
Queretaro,65 a 69 años,13200,15847,19724,24520,31562,57833
Queretaro,70 a 74 años,8951,12377,15069,18292,24701,40979
Queretaro,75 a 79 años,6927,7532,10678,13166,16494,27417
Queretaro,80 a 84 años,4961,5166,5795,8367,10760,17321
Queretaro,85 a 89 años,2880,3162,3719,4475,6400,9975
Queretaro,90 a 94 años,1199,1288,1683,1700,2344,4195
Queretaro,95 a 99 años,486,639,868,840,922,1531
Queretaro,100 años y más,187,140,231,184,207,242
Queretaro,No especificado,6857,2815,16637,44128,12941,6824
Quintana Roo,Total,493277,703536,874963,1135309,1325578,1857985
Quintana Roo,0 a 4 años,71097,96834,105575,107380,133228,147731
Quintana Roo,5 a 9 años,66069,87369,105081,106802,126996,155388
Quintana Roo,10 a 14 años,58780,77546,90648,106745,121308,154281
Quintana Roo,15 a 19 años,55940,75509,88870,102042,128650,147549
Quintana Roo,20 a 24 años,54226,81267,94752,103377,135549,164989
Quintana Roo,25 a 29 años,46170,72421,90750,97203,130616,184447
Quintana Roo,30 a 34 años,35950,58722,77734,93113,120654,175133
Quintana Roo,35 a 39 años,28267,45621,61416,78570,111169,161472
Quintana Roo,40 a 44 años,19006,31617,43641,59687,86941,136731
Quintana Roo,45 a 49 años,14626,23400,31473,43595,64630,117045
Quintana Roo,50 a 54 años,10415,16174,23169,32692,48629,94160
Quintana Roo,55 a 59 años,7518,11398,15498,23000,34052,66985
Quintana Roo,60 a 64 años,5735,8972,11995,16414,24478,49321
Quintana Roo,65 a 69 años,3980,5655,7861,10845,15430,34204
Quintana Roo,70 a 74 años,2724,4227,5226,7226,10761,21678
Quintana Roo,75 a 79 años,1607,2473,3641,4657,6453,12688
Quintana Roo,80 a 84 años,978,1392,1984,2770,3639,7421
Quintana Roo,85 a 89 años,477,710,1006,1499,2070,3775
Quintana Roo,90 a 94 años,233,303,361,477,761,1332
Quintana Roo,95 a 99 años,111,142,227,205,297,531
Quintana Roo,100 años y más,56,63,109,70,76,102
Quintana Roo,No especificado,9312,1721,13946,136940,19191,21022
San Luis Potosi,Total,2003187,2200763,2299360,2410414,2585518,2822255
San Luis Potosi,0 a 4 años,270709,279967,268764,253580,247057,230931
San Luis Potosi,5 a 9 años,278401,278902,290504,266312,268914,242727
San Luis Potosi,10 a 14 años,271005,277578,277667,285397,270154,252780
San Luis Potosi,15 a 19 años,231951,246271,241303,247158,269673,253797
San Luis Potosi,20 a 24 años,176897,206873,198991,198562,219720,232129
San Luis Potosi,25 a 29 años,142709,164964,173542,173849,189105,220964
San Luis Potosi,30 a 34 años,119334,143446,155396,171383,180250,204288
San Luis Potosi,35 a 39 años,102364,127109,139428,155867,175642,191969
San Luis Potosi,40 a 44 años,80896,98704,115022,134538,152372,180174
San Luis Potosi,45 a 49 años,72233,83724,91334,113281,131221,169453
San Luis Potosi,50 a 54 años,61690,69022,78078,92388,112519,153736
San Luis Potosi,55 a 59 años,49815,57161,62406,73276,87476,125766
San Luis Potosi,60 a 64 años,43493,51004,57657,65308,72960,107635
San Luis Potosi,65 a 69 años,31872,38714,44101,51272,56671,82236
San Luis Potosi,70 a 74 años,20470,29252,34381,40409,50213,63157
San Luis Potosi,75 a 79 años,16253,16847,24001,29792,34695,45985
San Luis Potosi,80 a 84 años,12274,12110,12141,19149,23325,32252
San Luis Potosi,85 a 89 años,7510,7959,8117,9094,13437,18927
San Luis Potosi,90 a 94 años,2773,3550,3908,3817,4303,8052
San Luis Potosi,95 a 99 años,1136,1557,1982,1978,1824,2895
San Luis Potosi,100 años y más,529,403,580,515,548,460
San Luis Potosi,No especificado,8873,5646,20057,23489,23439,1942
Sinaloa,Total,2204054,2425675,2536844,2608442,2767761,3026943
Sinaloa,0 a 4 años,268247,281823,280226,244907,252443,236236
Sinaloa,5 a 9 años,281174,283285,293365,262539,264538,250496
Sinaloa,10 a 14 años,297270,282968,282780,275179,270555,260172
Sinaloa,15 a 19 años,280493,283114,267418,256624,275540,261581
Sinaloa,20 a 24 años,208619,254765,240944,220179,242907,256990
Sinaloa,25 a 29 años,164727,195551,211879,196928,207840,232316
Sinaloa,30 a 34 años,143223,169208,182741,197089,207002,215491
Sinaloa,35 a 39 años,122698,153271,165228,177043,207622,205540
Sinaloa,40 a 44 años,96614,120409,140257,154173,176453,204309
Sinaloa,45 a 49 años,81853,97272,108884,130129,149915,192589
Sinaloa,50 a 54 años,65843,79839,91022,107972,131472,172094
Sinaloa,55 a 59 años,50913,62917,72198,84875,103936,143385
Sinaloa,60 a 64 años,41621,50727,60539,71711,83594,123628
Sinaloa,65 a 69 años,31281,37861,43760,53783,64032,95056
Sinaloa,70 a 74 años,23040,28195,32080,38183,51023,70677
Sinaloa,75 a 79 años,15816,18345,22153,26535,31659,49051
Sinaloa,80 a 84 años,9823,11668,13422,16422,19463,30957
Sinaloa,85 a 89 años,5042,6781,7860,9116,10809,15827
Sinaloa,90 a 94 años,2127,2358,2930,3405,4102,5997
Sinaloa,95 a 99 años,868,1151,1379,1432,1625,1923
Sinaloa,100 años y más,470,335,459,411,418,403
Sinaloa,No especificado,12292,3832,15320,79807,10813,2225
Sonora,Total,1823606,2085536,2216969,2394861,2662480,2944840
Sonora,0 a 4 años,213464,239515,244619,234936,250969,218345
Sonora,5 a 9 años,216768,233167,246494,243250,259950,246711
Sonora,10 a 14 años,222345,225173,228055,240901,256883,258791
Sonora,15 a 19 años,217889,225130,218530,221592,251510,255716
Sonora,20 a 24 años,181031,219665,210638,201924,228147,247003
Sonora,25 a 29 años,150981,180457,195388,190619,207251,227896
Sonora,30 a 34 años,133308,159506,172782,191733,205910,215004
Sonora,35 a 39 años,108248,143298,154516,171077,202731,207000
Sonora,40 a 44 años,82200,108710,131251,147464,172253,203895
Sonora,45 a 49 años,69626,85758,99234,125538,147842,192181
Sonora,50 a 54 años,58365,69920,80037,99848,128595,170705
Sonora,55 a 59 años,45439,55615,61747,74804,97274,140464
Sonora,60 a 64 años,36806,45734,52615,61504,74443,121603
Sonora,65 a 69 años,27864,34319,38990,48362,56240,87708
Sonora,70 a 74 años,19091,24339,28081,33784,43912,61882
Sonora,75 a 79 años,12855,15612,19133,23631,28060,41519
Sonora,80 a 84 años,7421,8887,10430,13538,17019,26144
Sonora,85 a 89 años,3769,4846,5569,6965,8961,13203
Sonora,90 a 94 años,1335,1536,1964,2323,3075,4727
Sonora,95 a 99 años,473,701,872,902,940,1421
Sonora,100 años y más,249,183,291,214,224,197
Sonora,No especificado,14079,3465,15733,59952,20291,2725
Tabasco,Total,1501744,1748769,1891829,1989969,2238603,2402598
Tabasco,0 a 4 años,208115,216423,213787,204327,223692,206877
Tabasco,5 a 9 años,216441,224135,228831,208905,225061,224058
Tabasco,10 a 14 años,206256,225955,228638,222167,220776,222698
Tabasco,15 a 19 años,176664,207996,212731,210055,224257,208660
Tabasco,20 a 24 años,144409,180648,187604,188484,206842,188555
Tabasco,25 a 29 años,121375,143820,159811,166827,185871,180324
Tabasco,30 a 34 años,96541,123023,137071,152970,174392,181427
Tabasco,35 a 39 años,84135,110421,127391,139172,164922,179476
Tabasco,40 a 44 años,57204,79309,97004,116283,136000,167602
Tabasco,45 a 49 años,48189,61601,76068,94231,116426,147298
Tabasco,50 a 54 años,37849,46169,56490,74419,95109,130575
Tabasco,55 a 59 años,29098,36478,42339,53257,72350,106647
Tabasco,60 a 64 años,23288,30607,36344,43088,51726,84886
Tabasco,65 a 69 años,15455,21043,26854,32200,38728,64809
Tabasco,70 a 74 años,11589,15449,18952,24663,32532,41845
Tabasco,75 a 79 años,7825,9585,12879,16749,21048,29521
Tabasco,80 a 84 años,5634,6064,7156,9314,12257,18674
Tabasco,85 a 89 años,3210,3781,4324,5288,7134,11315
Tabasco,90 a 94 años,1601,1715,2081,2051,2669,4337
Tabasco,95 a 99 años,847,982,1225,1228,1297,1677
Tabasco,100 años y más,612,523,573,512,536,461
Tabasco,No especificado,5407,3042,13676,23779,24978,876
Tamaulipas,Total,2249581,2527328,2753222,3024238,3268554,3527735
Tamaulipas,0 a 4 años,256810,282902,296314,294740,302937,271340
Tamaulipas,5 a 9 años,260284,270441,294747,295298,305122,294344
Tamaulipas,10 a 14 años,268815,263237,270114,290402,294469,305853
Tamaulipas,15 a 19 años,273793,275684,271411,274245,291682,294950
Tamaulipas,20 a 24 años,231171,274901,272292,267644,275453,284064
Tamaulipas,25 a 29 años,188111,229796,252514,253314,258116,267261
Tamaulipas,30 a 34 años,157309,195075,222680,248444,255313,256845
Tamaulipas,35 a 39 años,127147,168254,190906,223045,250586,257220
Tamaulipas,40 a 44 años,100806,126389,154690,185155,213736,248637
Tamaulipas,45 a 49 años,87714,103927,116567,150775,177182,236202
Tamaulipas,50 a 54 años,74561,86224,98820,119530,147748,211394
Tamaulipas,55 a 59 años,59066,70066,76894,91480,109317,167744
Tamaulipas,60 a 64 años,48780,59763,67945,77434,89766,139900
Tamaulipas,65 a 69 años,35940,43449,50474,60579,66138,100333
Tamaulipas,70 a 74 años,21998,31519,36696,44260,53619,73616
Tamaulipas,75 a 79 años,17318,17911,24953,30697,35422,50993
Tamaulipas,80 a 84 años,11754,11705,12307,18581,22387,33702
Tamaulipas,85 a 89 años,6873,7576,7883,8759,12078,17930
Tamaulipas,90 a 94 años,2163,2914,3307,3287,3852,7113
Tamaulipas,95 a 99 años,806,1220,1680,1450,1427,2287
Tamaulipas,100 años y más,346,296,429,429,408,353
Tamaulipas,No especificado,18016,4079,29599,84690,101796,5654
Tlaxcala,Total,761277,883924,962646,1068207,1169936,1342977
Tlaxcala,0 a 4 años,98004,106844,108862,114954,116073,110460
Tlaxcala,5 a 9 años,107483,109410,115925,114239,123330,117738
Tlaxcala,10 a 14 años,104575,110597,110488,118450,118634,119718
Tlaxcala,15 a 19 años,89788,103743,106450,108254,119172,121207
Tlaxcala,20 a 24 años,71689,90107,95999,99680,104781,113937
Tlaxcala,25 a 29 años,57606,71169,79360,88678,93720,104758
Tlaxcala,30 a 34 años,48100,61544,69785,81874,90612,96512
Tlaxcala,35 a 39 años,39473,54029,61295,72699,84560,94896
Tlaxcala,40 a 44 años,29399,38503,48701,59577,71030,89448
Tlaxcala,45 a 49 años,25549,31649,36434,48794,58822,80395
Tlaxcala,50 a 54 años,20869,25113,29923,37925,49362,70782
Tlaxcala,55 a 59 años,17599,20211,22869,28757,36171,56315
Tlaxcala,60 a 64 años,14949,18174,20010,24137,28530,46505
Tlaxcala,65 a 69 años,12043,14448,16582,18889,21997,33958
Tlaxcala,70 a 74 años,8284,10838,12377,14576,17497,24495
Tlaxcala,75 a 79 años,6354,7367,9585,11317,13009,17367
Tlaxcala,80 a 84 años,4143,4334,5308,7232,8741,11591
Tlaxcala,85 a 89 años,2832,3127,3366,4171,5477,7325
Tlaxcala,90 a 94 años,985,1238,1392,1502,1997,3217
Tlaxcala,95 a 99 años,530,643,828,794,794,1231
Tlaxcala,100 años y más,176,138,200,188,187,197
Tlaxcala,No especificado,847,698,6907,11520,5440,20925
Veracruz,Total,6228239,6737324,6908975,7110214,7643194,8062579
Veracruz,0 a 4 años,777420,776467,728473,676902,662288,600253
Veracruz,5 a 9 años,821633,808231,812674,720700,728767,675182
Veracruz,10 a 14 años,795938,807421,797328,791110,741526,685468
Veracruz,15 a 19 años,715415,735362,709056,710167,759388,681548
Veracruz,20 a 24 años,589326,647799,593263,582248,642093,600394
Veracruz,25 a 29 años,485425,543854,536397,517828,557762,580421
Veracruz,30 a 34 años,405322,474740,498825,516830,539685,568121
Veracruz,35 a 39 años,361668,432316,459768,496595,542754,558791
Veracruz,40 a 44 años,276466,336144,380702,432692,486810,537667
Veracruz,45 a 49 años,240187,284928,312790,369611,424845,516152
Veracruz,50 a 54 años,194181,227050,259882,310556,365591,488510
Veracruz,55 a 59 años,152200,183424,205722,247750,298171,408710
Veracruz,60 a 64 años,127548,154740,178582,211512,239698,347850
Veracruz,65 a 69 años,90139,112997,132984,159801,183836,279233
Veracruz,70 a 74 años,63720,82096,97101,121464,155346,203156
Veracruz,75 a 79 años,44526,51656,66604,85434,100119,145737
Veracruz,80 a 84 años,29753,32694,36758,50171,62627,95232
Veracruz,85 a 89 años,16879,19582,22336,27716,35565,54398
Veracruz,90 a 94 años,7843,8609,9608,10668,13213,21825
Veracruz,95 a 99 años,3614,4665,5467,5679,5967,8304
Veracruz,100 años y más,2389,1732,2261,2115,2186,2157
Veracruz,No especificado,26647,10817,62394,62665,94957,3470
Yucatan,Total,1362940,1556622,1658210,1818948,1955577,2320898
Yucatan,0 a 4 años,170427,178063,173213,169575,170727,175986
Yucatan,5 a 9 años,174028,182490,185605,176491,181587,186122
Yucatan,10 a 14 años,169408,180223,183581,188049,182604,189137
Yucatan,15 a 19 años,155653,170674,175320,183960,192027,196363
Yucatan,20 a 24 años,121572,157458,160339,171550,183322,199525
Yucatan,25 a 29 años,100526,120066,136614,147473,160355,190975
Yucatan,30 a 34 años,86739,105949,114882,139475,151440,183035
Yucatan,35 a 39 años,79634,95371,104381,118211,145205,174099
Yucatan,40 a 44 años,64275,79077,87383,103126,116699,161231
Yucatan,45 a 49 años,52521,68487,74855,86897,101202,146033
Yucatan,50 a 54 años,42970,51694,63846,76900,87918,122358
Yucatan,55 a 59 años,34702,41577,47242,61894,73419,103183
Yucatan,60 a 64 años,30299,35797,40706,48236,61572,86773
Yucatan,65 a 69 años,25855,27734,31712,38247,44092,72318
Yucatan,70 a 74 años,20263,23662,24429,28422,35779,53224
Yucatan,75 a 79 años,13802,16966,19372,21195,24558,35612
Yucatan,80 a 84 años,8704,9959,12282,14293,15627,22476
Yucatan,85 a 89 años,4899,5616,6478,8573,9540,12224
Yucatan,90 a 94 años,1736,2127,2419,2818,3815,4647
Yucatan,95 a 99 años,655,794,1007,1110,1289,1556
Yucatan,100 años y más,192,147,230,182,202,205
Yucatan,No especificado,4080,2691,12314,32271,12598,3816
Zacatecas,Total,1276323,1336496,1353610,1367692,1490668,1622138
Zacatecas,0 a 4 años,172330,160610,156356,143830,152037,151745
Zacatecas,5 a 9 años,176489,171797,164225,148813,151780,155704
Zacatecas,10 a 14 años,184782,173536,171383,156277,152154,151355
Zacatecas,15 a 19 años,158599,159590,145464,145349,150499,141208
Zacatecas,20 a 24 años,114990,126861,119820,112509,131079,130238
Zacatecas,25 a 29 años,84807,98409,101757,99137,107817,117673
Zacatecas,30 a 34 años,70196,84527,91476,97454,105427,114442
Zacatecas,35 a 39 años,58426,73092,79770,89531,101327,104728
Zacatecas,40 a 44 años,48332,55923,64510,76065,88979,102682
Zacatecas,45 a 49 años,44527,48555,50907,62751,74010,95118
Zacatecas,50 a 54 años,37307,41667,44565,50399,62448,86207
Zacatecas,55 a 59 años,31117,34251,37283,40637,47741,69401
Zacatecas,60 a 64 años,27796,32177,33857,37993,41090,58039
Zacatecas,65 a 69 años,20901,24586,27493,30335,34106,44719
Zacatecas,70 a 74 años,14244,19451,22021,24798,29225,35100
Zacatecas,75 a 79 años,11582,11604,15781,18430,21022,26357
Zacatecas,80 a 84 años,8790,8671,8519,12212,13941,18058
Zacatecas,85 a 89 años,5132,5504,5780,6230,8507,10975
Zacatecas,90 a 94 años,1915,2355,2522,2572,2832,4569
Zacatecas,95 a 99 años,693,933,1331,1188,1176,1723
Zacatecas,100 años y más,273,192,260,267,253,239
Zacatecas,No especificado,3095,2205,8530,10915,13218,1858
