State,Rate
Aguascalientes,0.04
Baja California,0.04
Baja California Sur,0.06
Campeche,0.01
Chiapas,0.01
Chihuahua,0.03
Ciudad de México,0.01
Coahuila,0.04
Colima,0.05
Durango,0.03
México,0.04
Guanajuato,0.04
Guerrero,0.02
Hidalgo,0.02
Jalisco,0.02
Michoacán,0.02
Morelos,0.03
Nayarit,0.02
Nuevo León,0.03
Oaxaca,0.02
Puebla,0.02
Querétaro,0.04
Quintana Roo,0.04
San Luis Potosí,0.04
Sinaloa,0.02
Sonora,0.04
Tabasco,0.05
Tamaulipas,0.03
Tlaxcala,0.02
Veracruz,0.02
Yucatán,0.01
Zacatecas,0.03
