State,Rate
Aguascalientes,0.5
Baja California,0.6
Baja California Sur,1.4
Campeche,0.7
Chiapas,0.1
Chihuahua,0.3
Ciudad de México,1.5
Coahuila,0.9
Colima,0.8
Durango,0.5
México,0.5
Guanajuato,0.7
Guerrero,0.6
Hidalgo,0.4
Jalisco,0.4
Michoacán,0.5
Morelos,0.3
Nayarit,0.5
Nuevo León,0.8
Oaxaca,0.5
Puebla,0.5
Querétaro,0.4
Quintana Roo,0.7
San Luis Potosí,0.9
Sinaloa,0.7
Sonora,1.2
Tabasco,1.4
Tamaulipas,0.9
Tlaxcala,0.6
Veracruz,0.4
Yucatán,0.8
Zacatecas,0.5
